NAME,ROW,COL,RAD
datasets/train/0.npy,13,166,78
datasets/train/1.npy,54,114,14
datasets/train/2.npy,82,172,15
datasets/train/3.npy,49,189,15
datasets/train/4.npy,74,151,82
datasets/train/5.npy,160,170,39
datasets/train/6.npy,159,131,60
datasets/train/7.npy,52,121,5
datasets/train/8.npy,127,112,46
datasets/train/9.npy,78,84,44
datasets/train/10.npy,111,4,84
datasets/train/11.npy,14,174,44
datasets/train/12.npy,163,150,65
datasets/train/13.npy,32,112,28
datasets/train/14.npy,153,0,1
datasets/train/15.npy,106,162,90
datasets/train/16.npy,145,6,54
datasets/train/17.npy,36,30,33
datasets/train/18.npy,88,128,4
datasets/train/19.npy,2,121,88
datasets/train/20.npy,45,95,12
datasets/train/21.npy,114,46,7
datasets/train/22.npy,18,94,35
datasets/train/23.npy,83,1,52
datasets/train/24.npy,140,49,36
datasets/train/25.npy,54,4,15
datasets/train/26.npy,182,187,34
datasets/train/27.npy,140,193,95
datasets/train/28.npy,3,166,63
datasets/train/29.npy,81,154,38
datasets/train/30.npy,88,51,56
datasets/train/31.npy,135,7,53
datasets/train/32.npy,100,150,88
datasets/train/33.npy,8,144,56
datasets/train/34.npy,178,43,27
datasets/train/35.npy,147,57,71
datasets/train/36.npy,2,151,49
datasets/train/37.npy,177,196,52
datasets/train/38.npy,43,61,17
datasets/train/39.npy,141,96,35
datasets/train/40.npy,67,57,98
datasets/train/41.npy,95,103,36
datasets/train/42.npy,176,21,87
datasets/train/43.npy,97,52,53
datasets/train/44.npy,69,139,54
datasets/train/45.npy,0,40,56
datasets/train/46.npy,160,119,28
datasets/train/47.npy,10,163,26
datasets/train/48.npy,135,60,91
datasets/train/49.npy,176,6,89
datasets/train/50.npy,54,183,81
datasets/train/51.npy,49,32,51
datasets/train/52.npy,145,53,72
datasets/train/53.npy,175,196,39
datasets/train/54.npy,142,93,89
datasets/train/55.npy,178,176,52
datasets/train/56.npy,174,117,6
datasets/train/57.npy,177,124,98
datasets/train/58.npy,136,168,53
datasets/train/59.npy,126,197,52
datasets/train/60.npy,107,46,22
datasets/train/61.npy,185,145,40
datasets/train/62.npy,63,151,24
datasets/train/63.npy,178,33,80
datasets/train/64.npy,143,94,46
datasets/train/65.npy,155,135,29
datasets/train/66.npy,8,51,6
datasets/train/67.npy,116,107,22
datasets/train/68.npy,121,185,64
datasets/train/69.npy,6,169,33
datasets/train/70.npy,28,60,47
datasets/train/71.npy,108,79,88
datasets/train/72.npy,109,1,83
datasets/train/73.npy,41,197,18
datasets/train/74.npy,42,52,98
datasets/train/75.npy,117,108,59
datasets/train/76.npy,180,96,18
datasets/train/77.npy,177,52,6
datasets/train/78.npy,106,22,86
datasets/train/79.npy,171,42,2
datasets/train/80.npy,105,72,56
datasets/train/81.npy,69,122,6
datasets/train/82.npy,42,112,60
datasets/train/83.npy,25,74,8
datasets/train/84.npy,140,147,9
datasets/train/85.npy,167,194,20
datasets/train/86.npy,180,74,21
datasets/train/87.npy,164,51,55
datasets/train/88.npy,55,2,54
datasets/train/89.npy,98,61,52
datasets/train/90.npy,181,34,83
datasets/train/91.npy,109,195,38
datasets/train/92.npy,90,126,45
datasets/train/93.npy,92,153,55
datasets/train/94.npy,105,188,72
datasets/train/95.npy,146,65,52
datasets/train/96.npy,34,131,44
datasets/train/97.npy,168,41,27
datasets/train/98.npy,151,127,38
datasets/train/99.npy,107,198,25
datasets/train/100.npy,161,141,9
datasets/train/101.npy,187,92,80
datasets/train/102.npy,86,69,91
datasets/train/103.npy,66,4,78
datasets/train/104.npy,64,107,9
datasets/train/105.npy,133,113,83
datasets/train/106.npy,45,182,30
datasets/train/107.npy,36,132,43
datasets/train/108.npy,186,164,99
datasets/train/109.npy,40,50,51
datasets/train/110.npy,142,113,15
datasets/train/111.npy,113,46,45
datasets/train/112.npy,199,80,68
datasets/train/113.npy,33,46,63
datasets/train/114.npy,195,135,13
datasets/train/115.npy,17,162,65
datasets/train/116.npy,179,115,20
datasets/train/117.npy,35,136,3
datasets/train/118.npy,191,91,11
datasets/train/119.npy,66,56,63
datasets/train/120.npy,179,36,3
datasets/train/121.npy,127,41,56
datasets/train/122.npy,87,98,79
datasets/train/123.npy,94,91,22
datasets/train/124.npy,113,191,46
datasets/train/125.npy,168,79,53
datasets/train/126.npy,64,67,20
datasets/train/127.npy,92,189,10
datasets/train/128.npy,121,20,93
datasets/train/129.npy,33,180,8
datasets/train/130.npy,79,22,49
datasets/train/131.npy,0,116,3
datasets/train/132.npy,140,90,85
datasets/train/133.npy,181,27,74
datasets/train/134.npy,52,118,58
datasets/train/135.npy,66,44,87
datasets/train/136.npy,146,51,68
datasets/train/137.npy,113,166,47
datasets/train/138.npy,51,62,90
datasets/train/139.npy,193,154,40
datasets/train/140.npy,76,169,35
datasets/train/141.npy,46,26,29
datasets/train/142.npy,134,121,17
datasets/train/143.npy,146,124,9
datasets/train/144.npy,188,57,16
datasets/train/145.npy,66,16,5
datasets/train/146.npy,7,100,63
datasets/train/147.npy,47,9,24
datasets/train/148.npy,139,180,94
datasets/train/149.npy,37,49,8
datasets/train/150.npy,150,189,78
datasets/train/151.npy,158,168,37
datasets/train/152.npy,102,170,5
datasets/train/153.npy,113,10,3
datasets/train/154.npy,174,58,12
datasets/train/155.npy,1,114,85
datasets/train/156.npy,91,75,99
datasets/train/157.npy,52,158,24
datasets/train/158.npy,88,180,58
datasets/train/159.npy,30,114,84
datasets/train/160.npy,7,165,43
datasets/train/161.npy,140,67,60
datasets/train/162.npy,121,25,91
datasets/train/163.npy,126,195,34
datasets/train/164.npy,112,36,22
datasets/train/165.npy,93,164,68
datasets/train/166.npy,111,68,23
datasets/train/167.npy,187,157,95
datasets/train/168.npy,6,64,31
datasets/train/169.npy,135,142,98
datasets/train/170.npy,159,198,57
datasets/train/171.npy,113,19,27
datasets/train/172.npy,14,64,24
datasets/train/173.npy,13,196,26
datasets/train/174.npy,117,161,51
datasets/train/175.npy,1,70,10
datasets/train/176.npy,17,181,39
datasets/train/177.npy,98,2,27
datasets/train/178.npy,129,139,81
datasets/train/179.npy,111,82,23
datasets/train/180.npy,129,177,90
datasets/train/181.npy,35,65,85
datasets/train/182.npy,68,174,28
datasets/train/183.npy,116,54,69
datasets/train/184.npy,81,74,6
datasets/train/185.npy,20,45,4
datasets/train/186.npy,141,43,82
datasets/train/187.npy,194,115,85
datasets/train/188.npy,66,66,36
datasets/train/189.npy,26,150,71
datasets/train/190.npy,94,12,13
datasets/train/191.npy,135,54,70
datasets/train/192.npy,31,89,51
datasets/train/193.npy,72,12,90
datasets/train/194.npy,55,130,29
datasets/train/195.npy,164,29,90
datasets/train/196.npy,118,72,37
datasets/train/197.npy,55,139,87
datasets/train/198.npy,146,53,46
datasets/train/199.npy,155,38,39
datasets/train/200.npy,162,24,39
datasets/train/201.npy,92,116,57
datasets/train/202.npy,140,21,57
datasets/train/203.npy,34,91,47
datasets/train/204.npy,35,99,2
datasets/train/205.npy,25,141,41
datasets/train/206.npy,87,142,46
datasets/train/207.npy,111,99,51
datasets/train/208.npy,186,10,3
datasets/train/209.npy,185,81,31
datasets/train/210.npy,72,148,56
datasets/train/211.npy,83,168,56
datasets/train/212.npy,38,64,14
datasets/train/213.npy,46,113,25
datasets/train/214.npy,114,77,47
datasets/train/215.npy,155,80,22
datasets/train/216.npy,22,161,6
datasets/train/217.npy,49,23,49
datasets/train/218.npy,179,14,12
datasets/train/219.npy,54,136,10
datasets/train/220.npy,36,9,46
datasets/train/221.npy,157,99,12
datasets/train/222.npy,161,129,17
datasets/train/223.npy,37,2,44
datasets/train/224.npy,149,131,14
datasets/train/225.npy,128,72,73
datasets/train/226.npy,0,155,1
datasets/train/227.npy,98,72,2
datasets/train/228.npy,175,7,71
datasets/train/229.npy,59,18,53
datasets/train/230.npy,189,14,59
datasets/train/231.npy,83,61,97
datasets/train/232.npy,156,37,48
datasets/train/233.npy,59,70,59
datasets/train/234.npy,98,44,90
datasets/train/235.npy,98,126,50
datasets/train/236.npy,186,112,49
datasets/train/237.npy,126,29,23
datasets/train/238.npy,114,25,4
datasets/train/239.npy,6,8,75
datasets/train/240.npy,65,79,32
datasets/train/241.npy,167,85,46
datasets/train/242.npy,132,15,90
datasets/train/243.npy,90,1,72
datasets/train/244.npy,2,93,19
datasets/train/245.npy,180,2,11
datasets/train/246.npy,128,158,45
datasets/train/247.npy,120,33,93
datasets/train/248.npy,66,169,26
datasets/train/249.npy,83,93,36
datasets/train/250.npy,180,161,70
datasets/train/251.npy,153,8,79
datasets/train/252.npy,38,29,80
datasets/train/253.npy,118,175,84
datasets/train/254.npy,120,57,38
datasets/train/255.npy,146,95,35
datasets/train/256.npy,143,40,30
datasets/train/257.npy,198,95,52
datasets/train/258.npy,12,128,52
datasets/train/259.npy,7,163,50
datasets/train/260.npy,175,32,13
datasets/train/261.npy,183,37,36
datasets/train/262.npy,110,77,58
datasets/train/263.npy,192,68,49
datasets/train/264.npy,181,26,39
datasets/train/265.npy,186,2,69
datasets/train/266.npy,148,5,66
datasets/train/267.npy,159,2,1
datasets/train/268.npy,117,78,83
datasets/train/269.npy,179,66,36
datasets/train/270.npy,89,161,47
datasets/train/271.npy,74,191,79
datasets/train/272.npy,143,56,99
datasets/train/273.npy,2,131,93
datasets/train/274.npy,111,78,67
datasets/train/275.npy,194,184,37
datasets/train/276.npy,176,161,55
datasets/train/277.npy,71,79,77
datasets/train/278.npy,73,188,31
datasets/train/279.npy,55,165,72
datasets/train/280.npy,14,126,46
datasets/train/281.npy,174,98,14
datasets/train/282.npy,156,176,71
datasets/train/283.npy,18,101,57
datasets/train/284.npy,138,11,50
datasets/train/285.npy,83,90,88
datasets/train/286.npy,60,49,22
datasets/train/287.npy,2,78,55
datasets/train/288.npy,178,173,18
datasets/train/289.npy,181,172,5
datasets/train/290.npy,103,111,46
datasets/train/291.npy,37,62,40
datasets/train/292.npy,116,80,18
datasets/train/293.npy,135,108,13
datasets/train/294.npy,70,94,1
datasets/train/295.npy,178,86,48
datasets/train/296.npy,50,177,52
datasets/train/297.npy,19,166,6
datasets/train/298.npy,94,160,98
datasets/train/299.npy,126,143,82
datasets/train/300.npy,66,196,11
datasets/train/301.npy,184,32,68
datasets/train/302.npy,18,183,60
datasets/train/303.npy,151,79,1
datasets/train/304.npy,180,132,19
datasets/train/305.npy,100,8,51
datasets/train/306.npy,33,24,48
datasets/train/307.npy,130,126,81
datasets/train/308.npy,191,122,83
datasets/train/309.npy,40,5,70
datasets/train/310.npy,40,54,60
datasets/train/311.npy,147,166,22
datasets/train/312.npy,129,151,84
datasets/train/313.npy,161,34,23
datasets/train/314.npy,0,2,69
datasets/train/315.npy,93,93,27
datasets/train/316.npy,108,191,64
datasets/train/317.npy,112,102,82
datasets/train/318.npy,120,111,27
datasets/train/319.npy,157,195,91
datasets/train/320.npy,136,80,82
datasets/train/321.npy,147,104,55
datasets/train/322.npy,83,154,7
datasets/train/323.npy,89,15,68
datasets/train/324.npy,27,111,52
datasets/train/325.npy,115,145,30
datasets/train/326.npy,142,112,39
datasets/train/327.npy,84,34,61
datasets/train/328.npy,56,3,13
datasets/train/329.npy,75,31,48
datasets/train/330.npy,177,98,50
datasets/train/331.npy,97,176,85
datasets/train/332.npy,73,135,12
datasets/train/333.npy,52,156,88
datasets/train/334.npy,82,120,91
datasets/train/335.npy,29,136,34
datasets/train/336.npy,192,102,18
datasets/train/337.npy,82,96,89
datasets/train/338.npy,62,18,86
datasets/train/339.npy,188,16,84
datasets/train/340.npy,131,100,91
datasets/train/341.npy,142,13,68
datasets/train/342.npy,11,187,31
datasets/train/343.npy,82,133,95
datasets/train/344.npy,179,167,5
datasets/train/345.npy,116,179,13
datasets/train/346.npy,56,55,72
datasets/train/347.npy,198,138,1
datasets/train/348.npy,27,54,97
datasets/train/349.npy,13,68,38
datasets/train/350.npy,175,165,33
datasets/train/351.npy,114,42,72
datasets/train/352.npy,197,83,82
datasets/train/353.npy,81,156,5
datasets/train/354.npy,88,75,57
datasets/train/355.npy,51,47,49
datasets/train/356.npy,143,140,20
datasets/train/357.npy,36,7,60
datasets/train/358.npy,18,40,43
datasets/train/359.npy,31,129,31
datasets/train/360.npy,57,151,91
datasets/train/361.npy,134,55,46
datasets/train/362.npy,29,108,42
datasets/train/363.npy,169,17,38
datasets/train/364.npy,71,111,60
datasets/train/365.npy,111,15,73
datasets/train/366.npy,80,183,25
datasets/train/367.npy,188,153,44
datasets/train/368.npy,31,192,68
datasets/train/369.npy,22,140,27
datasets/train/370.npy,157,52,6
datasets/train/371.npy,19,23,58
datasets/train/372.npy,135,61,33
datasets/train/373.npy,169,106,67
datasets/train/374.npy,100,130,33
datasets/train/375.npy,80,141,16
datasets/train/376.npy,125,185,96
datasets/train/377.npy,110,144,45
datasets/train/378.npy,113,198,49
datasets/train/379.npy,62,182,27
datasets/train/380.npy,40,99,7
datasets/train/381.npy,56,2,82
datasets/train/382.npy,141,183,39
datasets/train/383.npy,90,52,87
datasets/train/384.npy,7,168,66
datasets/train/385.npy,106,119,48
datasets/train/386.npy,88,44,21
datasets/train/387.npy,178,111,14
datasets/train/388.npy,49,82,72
datasets/train/389.npy,85,104,88
datasets/train/390.npy,50,115,26
datasets/train/391.npy,141,85,66
datasets/train/392.npy,82,134,26
datasets/train/393.npy,157,185,19
datasets/train/394.npy,76,95,57
datasets/train/395.npy,62,72,68
datasets/train/396.npy,185,111,90
datasets/train/397.npy,170,21,50
datasets/train/398.npy,77,30,18
datasets/train/399.npy,191,13,29
datasets/train/400.npy,191,55,30
datasets/train/401.npy,193,76,57
datasets/train/402.npy,123,10,64
datasets/train/403.npy,47,195,89
datasets/train/404.npy,7,141,8
datasets/train/405.npy,195,103,23
datasets/train/406.npy,166,152,35
datasets/train/407.npy,13,57,87
datasets/train/408.npy,128,177,71
datasets/train/409.npy,107,57,14
datasets/train/410.npy,143,117,71
datasets/train/411.npy,175,125,8
datasets/train/412.npy,186,145,40
datasets/train/413.npy,97,10,20
datasets/train/414.npy,82,145,67
datasets/train/415.npy,99,92,28
datasets/train/416.npy,77,135,29
datasets/train/417.npy,88,84,60
datasets/train/418.npy,177,132,76
datasets/train/419.npy,31,76,2
datasets/train/420.npy,96,121,31
datasets/train/421.npy,67,129,9
datasets/train/422.npy,195,4,15
datasets/train/423.npy,14,146,58
datasets/train/424.npy,75,126,63
datasets/train/425.npy,188,49,62
datasets/train/426.npy,187,85,54
datasets/train/427.npy,36,94,88
datasets/train/428.npy,42,161,8
datasets/train/429.npy,24,79,72
datasets/train/430.npy,162,89,91
datasets/train/431.npy,31,100,74
datasets/train/432.npy,1,167,66
datasets/train/433.npy,11,189,7
datasets/train/434.npy,171,152,47
datasets/train/435.npy,99,75,59
datasets/train/436.npy,152,11,83
datasets/train/437.npy,102,192,9
datasets/train/438.npy,88,122,97
datasets/train/439.npy,62,87,46
datasets/train/440.npy,111,137,2
datasets/train/441.npy,9,47,14
datasets/train/442.npy,148,170,39
datasets/train/443.npy,8,30,61
datasets/train/444.npy,73,130,35
datasets/train/445.npy,188,55,1
datasets/train/446.npy,153,96,37
datasets/train/447.npy,129,129,96
datasets/train/448.npy,50,68,8
datasets/train/449.npy,78,153,38
datasets/train/450.npy,55,71,76
datasets/train/451.npy,74,197,82
datasets/train/452.npy,146,77,69
datasets/train/453.npy,79,10,50
datasets/train/454.npy,59,24,31
